,RAW DATA,,,,,
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.70,Intermediate,"22,000.00"
143,Blockchain Revolution,INSEAD,SPECIALIZATION,4.70,Beginner,"21,000.00"
144,What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.70,Beginner,"120,000.00"
145,Futures Thinking,Institute for the Future,SPECIALIZATION,4.80,Beginner,"9,400.00"
146,Tools for Data Science,IBM,COURSE,4.60,Beginner,"120,000.00"
147,Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.60,Beginner,"14,000.00"
148,Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.40,Intermediate,"210,000.00"
149,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.70,Intermediate,"76,000.00"
150,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.70,Intermediate,"220,000.00"
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.60,Beginner,"270,000.00"
152,Python for Data Science and AI,IBM,COURSE,4.60,Beginner,"170,000.00"
153,UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.60,Beginner,"44,000.00"
154,Self-Driving Cars,University of Toronto,SPECIALIZATION,4.70,Advanced,"39,000.00"
155,Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.80,Beginner,"43,000.00"
156,Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.90,Intermediate,"68,000.00"
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.40,Advanced,"320,000.00"
158,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.60,Mixed,"100,000.00"
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.80,Beginner,"23,000.00"
160,SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.80,Beginner,"370,000.00"
161,Child Nutrition and Cooking,Stanford University,COURSE,4.70,Beginner,"30,000.00"
162,Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.80,Beginner,"290,000.00"
163,Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.70,Beginner,"38,000.00"
164,Fundamentals of Computing,Rice University,SPECIALIZATION,4.80,Beginner,"200,000.00"
165,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.60,Mixed,"110,000.00"
166,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.70,Beginner,"110,000.00"
167,Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.70,Intermediate,"18,000.00"
168,Business English Communication Skills,University of Washington,SPECIALIZATION,4.70,Intermediate,"120,000.00"
169,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.70,Mixed,"180,000.00"
170,Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.70,Beginner,"16,000.00"
171,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.80,Beginner,"14,000.00"
172,Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.70,Intermediate,"120,000.00"
173,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.80,Beginner,"24,000.00"
174,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.70,Mixed,"42,000.00"
175,English for Career Development,University of Pennsylvania,COURSE,4.80,Mixed,"760,000.00"
176,Moral Foundations of Politics,Yale University,COURSE,4.80,Mixed,"100,000.00"
177,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.60,Beginner,"28,000.00"
178,Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.90,Intermediate,"15,000.00"
179,Crash Course on Python,Google,COURSE,4.80,Beginner,"81,000.00"
180,Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.70,Beginner,"7,000.00"
181,Machine Learning,University of Washington,SPECIALIZATION,4.60,Intermediate,"290,000.00"
182,Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.80,Intermediate,"120,000.00"
183,Introduction to Cyber Security,New York University,SPECIALIZATION,4.70,Beginner,"32,000.00"
184,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.70,Intermediate,"97,000.00"
185,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.80,Mixed,"190,000.00"
186,Software Design and Architecture,University of Alberta,SPECIALIZATION,4.60,Beginner,"60,000.00"
187,Introduction to Data Science in Python,University of Michigan,COURSE,4.50,Intermediate,"390,000.00"
188,Music Business,Berklee College of Music,SPECIALIZATION,4.80,Beginner,"42,000.00"
189,Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.80,Beginner,"220,000.00"
190,Introduction to Programming in C,Duke University,SPECIALIZATION,4.70,Beginner,"82,000.00"
191,Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.80,Intermediate,"190,000.00"
192,Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.60,Mixed,"79,000.00"
193,International Women's Health and Human Rights,Stanford University,COURSE,4.90,Beginner,"35,000.00"
194,Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.80,Beginner,"110,000.00"
195,Investment and Portfolio Management,Rice University,SPECIALIZATION,4.50,Beginner,"49,000.00"
196,Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.40,Beginner,"75,000.00"
197,Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.80,Beginner,"51,000.00"
198,Data Science Methodology,IBM,COURSE,4.60,Beginner,"89,000.00"
199,Using Python to Access Web Data,University of Michigan,COURSE,4.80,Mixed,"310,000.00"
200,Sports Marketing,Northwestern University,COURSE,4.70,Intermediate,"12,000.00"
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.80,Mixed,"71,000.00"
202,Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.70,Beginner,"68,000.00"
203,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.60,Beginner,"26,000.00"
204,Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.70,Mixed,"200,000.00"
205,Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.80,Beginner,"54,000.00"
206,Game Design and Development,Michigan State University,SPECIALIZATION,4.70,Intermediate,"100,000.00"
207,Convolutional Neural Networks,deeplearning.ai,COURSE,4.90,Intermediate,"240,000.00"
208,Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.60,Intermediate,"18,000.00"
209,Foundations of Management,IESE Business School,SPECIALIZATION,4.80,Beginner,"64,000.00"
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.60,Mixed,"56,000.00"
211,Marketing Strategy,IE Business School,SPECIALIZATION,4.40,Beginner,"57,000.00"
212,Agile with Atlassian Jira,Atlassian,COURSE,4.70,Beginner,"40,000.00"
213,Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.70,Mixed,"270,000.00"
214,Medical Neuroscience,Duke University,COURSE,4.90,Advanced,"170,000.00"
215,Pricing Strategy Optimization,BCG,SPECIALIZATION,4.80,Beginner,"20,000.00"
216,Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.80,Mixed,"72,000.00"
217,TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.50,Intermediate,"12,000.00"
218,Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.90,Intermediate,"76,000.00"
219,Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.50,Beginner,"72,000.00"
220,Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.30,Beginner,"68,000.00"
221,Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.80,Beginner,"33,000.00"
222,C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.70,Beginner,"36,000.00"
223,Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.70,Beginner,"140,000.00"
224,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.80,Beginner,"22,000.00"
225,English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.80,Beginner,"230,000.00"
226,"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.70,Beginner,"22,000.00"
227,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.60,Intermediate,"120,000.00"
